"","GeneName","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ash1","leptidea_sinapisG00000010484",62.0144252594417,-1.81059953685321,0.504915918834616,-3.5859426675083,0.0003358627479205,0.0458565426388051
"2","cad96ca",NA,NA,NA,NA,NA,NA,NA
"3","flr","leptidea_sinapisG00000001843",662.896604802081,1.01597145445785,0.257203800430549,3.95006392890443,7.81303222241519e-05,0.0238829008594784
"4","futsch",NA,NA,NA,NA,NA,NA,NA
"5","gale",NA,NA,NA,NA,NA,NA,NA
"6","l(2)efl",NA,NA,NA,NA,NA,NA,NA
"7","lola",NA,NA,NA,NA,NA,NA,NA
"8","lva","leptidea_sinapisG00000002514",288.796760145837,-1.42480922301367,0.362533610489606,-3.93014380401708,8.4895072427913e-05,0.0238829008594784
"9","nsun5","leptidea_sinapisG00000002201",71.0861904282915,1.39660377965276,0.354646827004283,3.93801289990365,8.21591785456349e-05,0.0238829008594784
"10","orb2",NA,NA,NA,NA,NA,NA,NA
"11","ork1","leptidea_sinapisG00000003263",58.3022781227366,-2.64851735834325,0.693412653910633,-3.81953998590368,0.000133700785358194,0.0291501137277203
"12","rpl24",NA,NA,NA,NA,NA,NA,NA
"13","sdr",NA,NA,NA,NA,NA,NA,NA
"14","slc22a",NA,NA,NA,NA,NA,NA,NA
"15","spen","leptidea_sinapisG00000002861",179.961153595843,-2.45549997396783,0.39735650211723,-6.17958926275074,6.42685880527872e-10,5.60486356408357e-06
"16","y",NA,NA,NA,NA,NA,NA,NA
"17","abcc4_2","leptidea_sinapisG00000007095",118.450414489167,-1.75915552775634,0.415146186271026,-4.2374363198603,2.26086513848787e-05,0.0116330979109927
"18","cad96ca_2","leptidea_sinapisG00000004533",25.7813446333559,-2.09802226896845,0.439566327968841,-4.77293672302663,1.81558847571651e-06,0.00342264529984113
"19","cpeb2orb2","leptidea_sinapisG00000010016",131.384902339521,-2.06612420902538,0.534342356505086,-3.866667472403,0.000110332705686911,0.0262633793398322
"20","cpn2toll-6","leptidea_sinapisG00000000706",44.3923774193061,-2.24659749229951,0.602580550905812,-3.72829406611676,0.000192780349326152,0.0343109678872116
"21","estf_6","leptidea_sinapisG00000006744",16.6651809657083,-4.98269569191118,1.06720535967392,-4.66891929162878,3.02788291091422e-06,0.00377230955229756
"22","farp2","leptidea_sinapisG00000003506",36.9490040536636,-2.20105573965628,0.539146601582508,-4.08248096750628,4.45574621225087e-05,0.0194292813585199
"23","futsch_3","leptidea_sinapisG00000014955",588.672470620239,-2.52229981231202,0.517928175974051,-4.86997991095659,1.11609595122275e-06,0.00342264529984113
"24","gale_2","leptidea_sinapisG00000002932",19.5186897750182,-3.05628977431131,0.839099211175266,-3.64234614168041,0.000270164456640583,0.0413351618660092
"25","gcn1","leptidea_sinapisG00000009059",52.7423848566241,1.33885317298329,0.286260175083211,4.67705007374536,2.91031209993261e-06,0.00377230955229756
"26","igdb-2","leptidea_sinapisG00000005139",26.8179494933709,-2.41021512453671,0.611594515985494,-3.94087105351657,8.11862618817967e-05,0.0238829008594784
"27","l(2)efl_10","leptidea_sinapisG00000008965",13.1494526200045,2.83051055051341,0.79034028461089,3.58138210290895,0.000341781363550319,0.0458565426388051
"28","l(2)efl_17","leptidea_sinapisG00000015320",67.2316125605622,2.51995066733534,0.667644800352062,3.77438821661835,0.000160400810898479,0.0310856771521253
"29","lola_3","leptidea_sinapisG00000007997",40.122451567331,1.21062383224922,0.331052765569508,3.65689085897407,0.000255293014017387,0.0407256051299068
