Family	ID	Photo	Population	Wing_length	Wing_size	Host_plant	Egg_date	Adult_eclose	Sex	Dev_Time
SK..8	1218	208	Swe	1234	36139	Lotus	20-May	21-Jun	F	32
SK..8	1219	209	Swe	1233	37655	Lotus	20-May	21-Jun	F	32
SK..8	1220	210	Swe	1212	36035	Lotus	20-May	21-Jun	F	32
SK..8	1221	211	Swe	1217	34947	Lotus	20-May	21-Jun	M	32
SK..8	1222	212	Swe	1196	36452	Lotus	20-May	21-Jun	F	32
Sx58	1223	213	Swe	1178	33744	Dor	07-May	21-Jun	F	42
SK..8	1224	214	Swe	1260	38874	Lotus	20-May	22-Jun	F	33
SK..8	1225	215	Swe	1235	36387	Lotus	20-May	22-Jun	F	33
SK..6	1226	216	Swe	963	19398	Dor	16-May	22-Jun	M	37
SK..8	1227	217	Swe	1162	33553	Lotus	20-May	25-Jun	F	36
