baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
leptidea_sinapisG00000010512	38.4036092556828	-0.758135580199586	0.206249977970744	-3.67580926630269	0.000237096619841241	0.029887342489859
leptidea_sinapisG00000010778	220.294101508337	0.374773685578249	0.0951586635534107	3.93840845997061	8.20238757776865e-05	0.0151715356280328
leptidea_sinapisG00000014808	56.9456093908643	-3.29768964436459	0.899550493792032	-3.6659305587875	0.000246440796949164	0.0304775927700684
leptidea_sinapisG00000005040	27.9573805670449	-5.12957037095657	1.10174763372826	-4.65584877509412	3.22648701713956e-06	0.00297008180925773
leptidea_sinapisG00000007557	18.796640902022	3.31153054222396	0.855502869815821	3.87085848459736	0.000108452741109076	0.0173609098398509
leptidea_sinapisG00000014401	97.313620973164	-0.742952796119272	0.21119069209998	-3.51792396119214	0.000434936971474998	0.042583047863474
leptidea_sinapisG00000008341	16.9268924052431	-1.44584930379542	0.362068581496082	-3.99330231256496	6.51594058982912e-05	0.0136096279119564
leptidea_sinapisG00000007824	23.177434478398	0.652006276575021	0.187511617346677	3.47715136694476	0.000506771631280548	0.0451708919628853
leptidea_sinapisG00000013360	130.878780915503	-0.869851967431394	0.195828139379149	-4.44191509039079	8.91617459809682e-06	0.00380923295670509
leptidea_sinapisG00000012431	18.9863138740021	-1.03891113192757	0.249670620915979	-4.16112688035164	3.16681070813303e-05	0.00960156575669107
leptidea_sinapisG00000011566	66.4461673914785	-6.53195069205655	1.08822633705479	-6.0023824728731	1.94443000927005e-09	6.09189921904306e-06
leptidea_sinapisG00000007057	12.558284994656	1.09032082763993	0.314373597785175	3.46823281382872	0.00052389320225294	0.0460193664296764
leptidea_sinapisG00000007841	15.3529146343836	0.705764416749188	0.205548534292212	3.43356579592954	0.000595697607077025	0.0495483345921855
leptidea_sinapisG00000013362	16.0637130763976	-1.03821016178676	0.27666823038887	-3.75254564041383	0.000175047949940857	0.0253119335614479
leptidea_sinapisG00000006877	14.1598452612902	-2.8873052406146	0.746728046108148	-3.86660880847166	0.00011035923748003	0.0173609098398509
leptidea_sinapisG00000004185	12.4136595832665	-2.629868501467	0.634867581480488	-4.14238902439189	3.43706692210973e-05	0.00995709358689141
