"","GeneName","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","cad96ca",NA,NA,NA,NA,NA,NA,NA
"2","cht3",NA,NA,NA,NA,NA,NA,NA
"3","ds","leptidea_sinapisG00000001066",20.0959369349301,-1.34326668697652,0.318122090855338,-4.22248792394412,2.41620348317304e-05,0.0165902273812016
"4","ebpiii",NA,NA,NA,NA,NA,NA,NA
"5","nup153","leptidea_sinapisG00000002967",54.0588175397251,-1.14972010124261,0.197793214021572,-5.81273784811049,6.1459268782429e-09,5.46987492163618e-05
"6","rb1cc1","leptidea_sinapisG00000007001",13.0432146860018,-1.58117922248217,0.417391733846498,-3.78823798907257,0.000151719481962896,0.0354690189906812
"7","abcg23_2","leptidea_sinapisG00000006102",10.0295836877993,-1.6424793548778,0.386510077837748,-4.24951236476503,2.14236383828691e-05,0.0165902273812016
"8","akr1b1_2","leptidea_sinapisG00000011265",120.691174202375,-1.90640493064144,0.497499485757344,-3.83197367076535,0.000127119346326719,0.034891834061112
"9","cad96ca_2","leptidea_sinapisG00000004533",32.9413910043417,-1.78411621950885,0.339333580546991,-5.25770605029108,1.45863422073964e-07,0.000432728152152761
"10","cht3_2","leptidea_sinapisG00000012823",108.065698511538,4.91775353735898,1.23426976383208,3.98434254930676,6.76672047379749e-05,0.0240895248867191
"11","cyp6b1_2","leptidea_sinapisG00000011273",33.418724996405,4.75126746801239,1.20900016167337,3.92991466720417,8.49760132521739e-05,0.0270102327837267
"12","ebpiii_6","leptidea_sinapisG00000006654",243.837699698616,-4.70235107226377,1.17614775050645,-3.99809553709466,6.3854179294819e-05,0.0236792581551621
"13","ece1","leptidea_sinapisG00000007557",125.738848307779,4.66332604783106,1.21832715298117,3.82764681589851,0.000129374216181651,0.034891834061112
"14","efnb2a","leptidea_sinapisG00000004830",14.0663405467653,-1.70766621186295,0.423228099806837,-4.03486019156651,5.46348192484333e-05,0.0236792581551621
"15","epc1","leptidea_sinapisG00000004561",38.4003223683127,-1.04912499259128,0.208585288789625,-5.029717094044,4.91204056205099e-07,0.000728619350037563
"16","neurl4","leptidea_sinapisG00000013362",19.3558579034589,-1.41245680253231,0.349901187394511,-4.03673052112216,5.42012662686712e-05,0.0236792581551621
"17","nup210","leptidea_sinapisG00000012518",22.8240038941601,-1.14608601137324,0.318054091810183,-3.60343111717371,0.000314044000748161,0.0499835348626407
"18","olpb_2","leptidea_sinapisG00000004344",13.38325624171,-1.2467524766069,0.341385424675187,-3.65203780387849,0.000260167573312019,0.0445286808168648
"19","uri1","leptidea_sinapisG00000012046",35.0670482615263,1.0041127477714,0.190868004737698,5.2607703902564,1.43453080407609e-07,0.000432728152152761
"20","wdr81","leptidea_sinapisG00000012431",22.9942965405029,-1.19268589076936,0.285885826219469,-4.17189584576943,3.02075718974622e-05,0.0179231593258275
