Sample_ID Raw_reads  TrimGalore  Prinseq  CutAdapt  Condetri  SortMeRNA  Map_lept_rep  Mapped_lept one_hit mult_hits
P11917_127_S74_R1 11325091 10186032.0 8898949.0 8765403.0 8602473.0 8172236.0 0.51 93.58 58.33 29.82
P11917_127_S74_R2 11325091 10186032.0 8898949.0 8765403.0 8602473.0 8172236.0 0.49 93.12 57.92 29.55
P11917_128_S75_R1 9819672 8987970.0 7949386.0 7778493.0 7635532.0 6764249.0 1.11 95.1 61.95 27.40
P11917_128_S75_R2 9819672 8987970.0 7949386.0 7778493.0 7635532.0 6764249.0 1.04 94.43 62.50 26.16
P11917_129_S76_R1 14861977 14243967.0 13222572.0 13012459.0 12815788.0 11136123.0 0.73 97.03 63.97 25.93
P11917_129_S76_R2 14861977 14243967.0 13222572.0 13012459.0 12815788.0 11136123.0 0.71 96.8 63.76 25.67
P11917_130_S77_R1 14515716 13687062.0 12450120.0 12238340.0 12040329.0 9767340.0 0.41 97.2 62.44 26.82
P11917_130_S77_R2 14515716 13687062.0 12450120.0 12238340.0 12040329.0 9767340.0 0.4 96.91 61.65 26.92
P11917_131_S78_R1 10271425 9310267.0 7963397.0 7695546.0 7554959.0 7330408.0 0.8 96.9 60.96 30.22
P11917_131_S78_R2 10271425 9310267.0 7963397.0 7695546.0 7554959.0 7330408.0 0.78 96.6 60.76 29.86
P11917_132_S79_R1 13970952 13192583.0 11906606.0 11650841.0 11462402.0 11156296.0 0.84 97.3 62.61 30.42
P11917_132_S79_R2 13970952 13192583.0 11906606.0 11650841.0 11462402.0 11156296.0 0.83 97.07 62.08 30.54
P11917_133_S80_R1 13382818 12329693.0 10875130.0 10668036.0 10489121.0 10159570.0 0.76 98.23 65.11 28.13
P11917_133_S80_R2 13382818 12329693.0 10875130.0 10668036.0 10489121.0 10159570.0 0.74 97.94 64.14 28.53
P11917_134_S81_R1 13331729 12864385.0 11828552.0 11105958.0 10918463.0 10388837.0 0.92 96.04 56.31 33.85
P11917_134_S81_R2 13331729 12864385.0 11828552.0 11105958.0 10918463.0 10388837.0 0.9 95.61 56.34 33.21
P11917_135_S82_R1 16707613 16211783.0 15213410.0 14668987.0 14447126.0 13103774.0 1.29 97.19 61.80 32.01
P11917_135_S82_R2 16707613 16211783.0 15213410.0 14668987.0 14447126.0 13103774.0 1.22 96.5 62.27 30.88
P11917_136_S83_R1 15460974 14434277.0 13142630.0 12971137.0 12763542.0 10871999.0 0.62 97.9 64.21 28.05
P11917_136_S83_R2 15460974 14434277.0 13142630.0 12971137.0 12763542.0 10871999.0 0.59 97.37 64.05 27.60
P11917_137_S84_R1 8935136 8197933.0 7167261.0 6585372.0 6454824.0 6053162.0 0.51 91.24 48.51 38.72
P11917_137_S84_R2 8935136 8197933.0 7167261.0 6585372.0 6454824.0 6053162.0 0.54 90.65 48.25 38.34
P11917_138_S85_R1 11167306 10106291.0 8868225.0 8711892.0 8561890.0 8198090.0 0.64 98.37 64.93 26.74
P11917_138_S85_R2 11167306 10106291.0 8868225.0 8711892.0 8561890.0 8198090.0 0.62 97.87 64.15 26.79
P11917_139_S86_R1 11418005 10969225.0 10087414.0 9858625.0 9687416.0 8977748.0 0.54 90.19 53.47 31.26
P11917_139_S86_R2 11418005 10969225.0 10087414.0 9858625.0 9687416.0 8977748.0 0.52 90.08 51.78 32.68
P11917_140_S87_R1 14760225 13634420.0 12030835.0 11422534.0 11203335.0 10793420.0 0.96 96.52 57.78 33.73
P11917_140_S87_R2 14760225 13634420.0 12030835.0 11422534.0 11203335.0 10793420.0 0.91 95.83 57.66 32.99
P11917_141_S88_R1 13378438 12545792.0 11400424.0 11191038.0 11000745.0 10342877.0 0.94 94.72 60.09 30.40
P11917_141_S88_R2 13378438 12545792.0 11400424.0 11191038.0 11000745.0 10342877.0 0.9 94.31 59.92 30.12
P11917_142_S89_R1 12463251 11347571.0 9915990.0 9750826.0 9559022.0 8416052.0 0.88 91.36 56.90 30.31
P11917_142_S89_R2 12463251 11347571.0 9915990.0 9750826.0 9559022.0 8416052.0 0.83 91.04 56.22 30.60
P11917_143_S90_R1 13216825 12358434.0 11133960.0 10871756.0 10682896.0 10322724.0 0.61 95.82 59.78 30.17
P11917_143_S90_R2 13216825 12358434.0 11133960.0 10871756.0 10682896.0 10322724.0 0.6 95.44 58.78 30.32
P11917_144_S91_R1 13872739 12761602.0 11243873.0 11094284.0 10892184.0 10284084.0 0.52 93.03 56.39 33.80
P11917_144_S91_R2 13872739 12761602.0 11243873.0 11094284.0 10892184.0 10284084.0 0.5 92.69 55.51 34.11
P11917_145_S92_R1 9249137 8289812.0 7086056.0 6967057.0 6837949.0 6456199.0 0.46 97.34 62.93 28.50
P11917_145_S92_R2 9249137 8289812.0 7086056.0 6967057.0 6837949.0 6456199.0 0.44 96.92 62.27 28.21
P11917_146_S93_R1 9215363 8656396.0 7833762.0 7605698.0 7482523.0 7200208.0 0.72 97.89 62.16 30.04
P11917_146_S93_R2 9215363 8656396.0 7833762.0 7605698.0 7482523.0 7200208.0 0.7 97.51 61.95 29.38
P11917_147_S94_R1 12488004 11435276.0 10095161.0 9991410.0 9815380.0 7842875.0 0.43 96.36 62.63 28.39
