"","GeneName","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","cart",NA,NA,NA,NA,NA,NA,NA
"2","lva","leptidea_sinapisG00000002514",361.091878844678,-1.46102041807372,0.387055165678411,-3.77470848506288,0.00016019488510258,0.0498526482439228
"3","nrg","leptidea_sinapisG00000013360",102.107446012943,-1.09854741379626,0.267903712883957,-4.10053075401795,4.1220364882877e-05,0.0174924239339336
"4","orct2","leptidea_sinapisG00000005301",64.8633423746263,-6.23596661911819,1.36466717379966,-4.56958791040259,4.8868415079054e-06,0.00456235523178048
"5","rla2_drome",NA,NA,NA,NA,NA,NA,NA
"6","tim","leptidea_sinapisG00000010427",18.8310827013486,-2.53452834776262,0.543326025908051,-4.66483883875562,3.08859006175026e-06,0.00334871280250541
"7","y",NA,NA,NA,NA,NA,NA,NA
"8","b1","leptidea_sinapisG00000001704",123.319662947794,-1.26680536306968,0.295496182538034,-4.28704476717437,1.81065814029571e-05,0.0116375605703696
"9","cart_5","leptidea_sinapisG00000009258",13.9298447185687,-3.35392064221174,0.720384032473864,-4.65573984294747,3.22819357568003e-06,0.00334871280250541
"10","l(2)efl_5","leptidea_sinapisG00000004446",69.7022774532473,-2.72627485781328,0.6700925964719,-4.06850466960443,4.73158130195743e-05,0.0184058512646144
"11","ndufa6_2","leptidea_sinapisG00000009745",18.3278584048409,5.03860633561244,1.29273039644325,3.89764667828296,9.713199148905e-05,0.0323865811622061
"12","rla2","leptidea_sinapisG00000004842",274.081075897161,6.65322754766912,1.31825889960062,5.04698094561303,4.48846094910813e-07,0.00136265139507434
"13","sv2b","leptidea_sinapisG00000003485",18.4849460621618,-2.5147124341123,0.614956699708458,-4.08925121932079,4.32767947651346e-05,0.0175666154750999
"14","tbb2betatub60d","leptidea_sinapisG00000007048",139.515715317413,-3.67569454530576,0.735655078003647,-4.99649177340082,5.83826647418312e-07,0.00136265139507434
"15","tret1_48","leptidea_sinapisG00000013252",12.1472251428235,-4.06009600606999,0.987952505796329,-4.1096064661503,3.96333956875284e-05,0.0174924239339336
"16","tret1_50","leptidea_sinapisG00000014023",34.26964184875,-3.27837175728735,0.669643569043182,-4.89569661957874,9.79580922912809e-07,0.00161261221832233
"17","y_2","leptidea_sinapisG00000001345",22.467609192097,-2.30019369481698,0.454305412984684,-5.06309990828685,4.12493538625407e-07,0.00136265139507434
