gene_id,P5052_202_S48,P5052_203_S49,P5052_204_S34,P5052_205_S35,P5052_210_S51,P5052_211_S52,P5052_212_S36,P5052_213_S53,P5052_218_S55,P5052_219_S56,P5052_220_S57,P5052_221_S58,P5052_226_S59,P5052_227_S38,P5052_233_S60,P5052_234_S61,P5052_235_S62,P7553_325_S10
leptidea_sinapisG00000000291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000000924,100,66,98,23,103,33,20,43,32,17,183,138,202,342,97,98,138,253
leptidea_sinapisG00000013367,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000000294,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
leptidea_sinapisG00000000295,62,80,1061,185,143,107,70,774,70,59,493,197,529,1686,717,1151,422,628
leptidea_sinapisG00000000296,313,227,3497,105,64,185,337,524,187,74,638,5194,1615,4762,780,827,1096,1542
leptidea_sinapisG00000000297,5,0,10,0,5,0,0,9,1,1,10,7,12,19,29,20,34,4
leptidea_sinapisG00000010942,273,289,470,80,190,180,0,175,101,132,493,611,565,1334,497,622,1109,395
leptidea_sinapisG00000003951,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
leptidea_sinapisG00000010944,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000013498,39,26,131,0,26,3,0,25,5,7,27,58,244,217,224,38,117,229
leptidea_sinapisG00000001485,46,40,14,0,40,32,0,17,9,8,61,135,39,124,83,61,49,25
leptidea_sinapisG00000010512,19,45,0,0,25,60,0,27,10,12,105,82,19,80,12,27,23,18
leptidea_sinapisG00000010513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000010510,184,138,314,61,179,147,24,266,92,114,409,773,758,2624,395,445,446,901
leptidea_sinapisG00000010511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000010516,41,34,54,8,33,33,0,9,12,7,26,85,32,31,22,21,14,6
leptidea_sinapisG00000010517,264,142,23,17,174,20,0,21,38,15,91,178,332,383,55,56,52,245
leptidea_sinapisG00000010514,236,189,130,73,147,149,10,315,58,59,911,314,367,1023,322,508,592,269
leptidea_sinapisG00000010515,321,223,605,175,189,115,160,647,144,84,898,589,1307,3075,878,862,686,1830
leptidea_sinapisG00000010518,47,58,0,0,325,66,0,0,87,112,0,0,0,60,0,0,0,19
leptidea_sinapisG00000010519,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000014924,164,157,0,0,96,0,0,0,0,0,0,0,118,0,63,6,0,127
