gene_id,P5052_202_S48,P5052_203_S49,P5052_204_S34,P5052_205_S35,P5052_210_S51,P5052_211_S52,P5052_212_S36,P5052_213_S53,P5052_218_S55,P5052_219_S56,P5052_220_S57,P5052_221_S58,P5052_226_S59,P5052_227_S38,P5052_233_S60,P5052_234_S61,P5052_235_S62,P7553_325_S10
leptidea_sinapisG00000009452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000009455,18,13,29,0,6,14,0,15,6,5,265,24,59,568,74,171,51,34
leptidea_sinapisG00000009454,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0
leptidea_sinapisG00000009457,659,609,180,5,1547,295,0,141,220,74,93,529,840,639,760,863,1656,1024
leptidea_sinapisG00000009456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000009459,57,38,101,16,39,43,0,27,25,19,39,83,66,591,46,26,14,40
leptidea_sinapisG00000009458,156,80,471,69,132,67,45,393,39,40,976,1082,204,1315,381,137,157,332
leptidea_sinapisG00000012096,8,4,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,9
leptidea_sinapisG00000010939,3,0,0,0,3,3,9,0,0,0,3,3,2,0,0,0,0,4
leptidea_sinapisG00000008378,22,20,20,0,18,12,0,25,13,4,48,13,91,249,3,3,5,59
leptidea_sinapisG00000000448,1,3,0,0,2,2,0,0,4,0,1,7,13,10,0,0,3,4
leptidea_sinapisG00000012426,3,0,0,0,0,0,0,0,0,0,0,0,55,134,122,12,261,33
leptidea_sinapisG00000012317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,25,88,0
leptidea_sinapisG00000014398,1,0,12,0,0,2,0,1,6,0,8,0,0,0,10,15,12,0
leptidea_sinapisG00000014399,12,4,39,0,0,0,0,0,10,0,55,0,0,0,138,88,238,0
leptidea_sinapisG00000014394,11,22,5,7,11,11,0,2,8,2,5,21,8,31,0,5,14,12
leptidea_sinapisG00000014395,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
leptidea_sinapisG00000014396,0,0,0,0,1,0,0,0,0,0,0,12,278,958,3,0,0,313
leptidea_sinapisG00000014397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000014390,358,212,529,179,394,139,101,191,103,103,457,808,982,2189,647,433,592,1109
leptidea_sinapisG00000014391,132,72,54,33,122,78,17,55,28,47,259,251,99,216,91,72,96,118
leptidea_sinapisG00000014392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,0
leptidea_sinapisG00000014393,0,7,0,0,35,0,0,0,0,0,2,0,10,0,0,2,0,0
leptidea_sinapisG00000001305,10835,8208,56091,9824,11798,16617,25578,27609,8160,5250,42777,40910,64000,179762,22769,20772,29211,98316
leptidea_sinapisG00000006464,11,11,0,0,4,0,0,0,0,0,0,4,6,0,4,27,5,12
leptidea_sinapisG00000001307,85,51,0,0,51,83,0,0,41,49,4,0,165,312,247,159,114,257
leptidea_sinapisG00000001306,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
leptidea_sinapisG00000006461,12,10,170,0,14,0,0,0,11,2,10,27,6193,10788,13418,20757,13450,11107
leptidea_sinapisG00000006460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
leptidea_sinapisG00000001303,0,0,0,0,0,0,0,0,0,0,0,76,3,54,0,21,0,13
leptidea_sinapisG00000006462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
leptidea_sinapisG00000010484,92,81,11,0,53,136,0,5,47,37,44,149,25,163,38,25,55,25
leptidea_sinapisG00000010485,3,6,0,0,15,0,0,15,6,0,6,7,15,0,202,360,247,20
leptidea_sinapisG00000010486,141,122,217,14,140,83,5,199,36,23,368,593,276,1547,542,421,321,305
leptidea_sinapisG00000010487,172,116,23,0,150,30,0,25,32,38,88,151,264,420,11,21,27,195
leptidea_sinapisG00000006469,4,0,0,0,5,2,0,7,0,5,7,7,18,42,2,0,12,29
leptidea_sinapisG00000001308,4,0,0,0,100,0,0,0,3,4,0,0,0,0,2,0,0,0
leptidea_sinapisG00000010482,303,206,804,257,171,155,61,401,75,117,179,506,533,2604,147,112,61,848
leptidea_sinapisG00000010483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
leptidea_sinapisG00000013614,214,165,127,70,258,77,55,83,70,48,193,409,542,1055,129,56,56,475
leptidea_sinapisG00000013615,229,241,0,10,70,139,2,34,45,125,185,112,159,556,63,80,516,173
leptidea_sinapisG00000013616,0,5,0,0,16,0,0,0,0,2,13,18,26,134,45,105,43,20
leptidea_sinapisG00000013617,260,256,533,124,485,345,32,77,191,129,245,204,1066,2696,593,360,279,1371
leptidea_sinapisG00000013610,78,38,27,0,59,38,0,11,18,15,25,49,16,74,36,18,55,18
leptidea_sinapisG00000013611,43,23,0,0,21,5,0,4,0,12,13,29,19,58,15,16,29,19
leptidea_sinapisG00000013612,67,58,115,34,78,17,7,60,21,22,86,83,395,1040,76,54,73,451
leptidea_sinapisG00000013613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
leptidea_sinapisG00000013618,80,78,83,0,79,38,6,33,29,19,67,158,375,601,90,75,110,368
leptidea_sinapisG00000013619,7,11,20,7,6,5,0,44,2,0,67,655,85,426,80,42,17,61
leptidea_sinapisG00000007572,8,0,0,0,10,13,0,0,2,0,13,12,13,0,4,20,29,10
leptidea_sinapisG00000008504,64,89,114,18,63,53,0,69,36,24,153,223,558,1314,118,115,143,623
leptidea_sinapisG00000008505,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000014028,142,71,36,29,36,29,0,31,13,14,95,246,19,90,79,89,14,13
leptidea_sinapisG00000008059,11925,43837,47,8,106947,47882,9,58,27616,64461,121,3,8,0,14,21,15,14
leptidea_sinapisG00000008500,654,464,709,241,702,415,101,406,265,149,812,1519,795,2649,548,412,492,1025
leptidea_sinapisG00000008501,145,110,356,80,162,92,38,148,67,72,227,698,648,1370,224,256,258,607
leptidea_sinapisG00000008502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000008503,24,14,0,0,2,14,0,0,0,7,10,15,8,103,11,18,28,6
leptidea_sinapisG00000008052,7,6,52,0,7,0,0,0,3,0,4,0,2,0,78,16,74,0
leptidea_sinapisG00000008053,1,0,0,0,0,0,0,0,0,0,1,0,0,0,42,77,172,0
leptidea_sinapisG00000014020,51,44,19,5,29,29,0,19,21,11,83,106,67,237,64,59,86,74
leptidea_sinapisG00000014021,14,7,9,0,14,0,0,3,4,2,10,35,26,151,17,7,3,33
leptidea_sinapisG00000003819,84,91,293,55,83,71,28,105,43,22,115,137,91,426,219,269,164,217
leptidea_sinapisG00000008057,15,3,67,0,26,0,0,2,7,0,43,0,0,0,147,68,197,0
leptidea_sinapisG00000008054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000008055,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000006076,37,34,4,0,26,53,0,0,10,75,4,113,39,49,10,41,57,13
leptidea_sinapisG00000006077,40,28,7,0,15,13,0,10,7,6,24,28,73,214,23,2,0,71
leptidea_sinapisG00000006074,14,4,51,24,0,6,0,8,0,0,0,0,11,0,30,34,22,19
leptidea_sinapisG00000006075,117,117,833,146,131,100,178,207,139,98,123,293,233,969,192,309,255,322
leptidea_sinapisG00000010879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000010878,3,6,0,0,5,0,0,0,0,0,6,6,13,0,6,0,0,12
leptidea_sinapisG00000006070,250,168,133,39,193,65,0,101,94,93,345,342,245,975,238,304,307,270
leptidea_sinapisG00000006071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000010875,2251,2584,999,174,2506,2030,90,749,1356,1864,3090,1831,629,2122,1190,847,2362,750
leptidea_sinapisG00000010874,19,24,4,0,2,7,0,24,0,0,16,23,10,33,5,7,10,5
leptidea_sinapisG00000010877,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0
leptidea_sinapisG00000010876,2,0,5,0,1,2,0,9,0,0,12,39,20,43,40,34,20,54
leptidea_sinapisG00000010871,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
leptidea_sinapisG00000010870,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
leptidea_sinapisG00000006078,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
leptidea_sinapisG00000010872,0,1,11,0,0,0,0,0,0,0,3,0,3,0,8,2,7,0
leptidea_sinapisG00000002766,11,11,8,0,8,8,4,7,0,4,27,15,5,0,15,0,5,4
leptidea_sinapisG00000002767,81,97,15,19,79,93,0,29,18,57,29,156,87,176,70,42,67,90
leptidea_sinapisG00000009905,214,733,0,0,1654,447,0,4,847,790,0,7,0,0,0,2,0,0
leptidea_sinapisG00000009904,13,8,0,9,7,5,0,3,3,0,0,7,24,166,2,1,6,37
leptidea_sinapisG00000009903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000009902,6,8,0,0,3,3,0,0,0,3,13,2,16,25,0,7,12,0
leptidea_sinapisG00000009901,53,62,31,0,92,49,3,17,41,18,29,52,50,204,92,43,70,87
leptidea_sinapisG00000009900,3,6,33,0,21,5,0,6,1,0,3,25,102,201,97,193,82,95
leptidea_sinapisG00000014290,5,0,0,0,0,0,0,0,0,0,0,0,0,0,120,170,271,0
leptidea_sinapisG00000002768,17,12,78,0,0,15,0,11,0,6,11,39,15,0,0,5,121,0
leptidea_sinapisG00000002769,520,452,914,176,859,610,124,555,370,458,998,3354,2352,10156,3829,4154,1407,3981
leptidea_sinapisG00000012423,16,9,90,0,0,0,0,0,0,0,8,22,31,0,45,103,1276,21
leptidea_sinapisG00000008857,32,15,5,0,4,4,0,4,4,4,7,1,0,0,0,2,2,0
leptidea_sinapisG00000005479,131,89,136,49,90,121,2,96,45,34,214,188,136,309,166,224,138,65
leptidea_sinapisG00000005478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000005477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
leptidea_sinapisG00000005476,30,9,7,0,6,0,20,0,14,0,28,0,0,0,85,60,199,0
leptidea_sinapisG00000000324,5,0,54,0,4,0,9,0,4,0,14,4,0,0,22,11,41,3
leptidea_sinapisG00000005474,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0
leptidea_sinapisG00000005473,128,128,616,38,70,127,16,114,46,31,169,398,337,1058,179,60,148,577
leptidea_sinapisG00000005472,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0
leptidea_sinapisG00000005471,4,0,2,0,0,1,0,0,0,0,0,760,0,28,35,25,73,0
leptidea_sinapisG00000005470,740,534,2085,226,323,339,27,332,266,167,439,353,224,1390,387,384,274,232
leptidea_sinapisG00000013731,5,6,0,0,2,2,0,0,0,0,0,4,0,0,0,0,3,0
leptidea_sinapisG00000001902,36,41,16,0,38,13,0,10,9,5,44,98,30,83,12,39,16,78
leptidea_sinapisG00000003145,0,7,0,0,0,0,0,0,0,0,2,19,0,0,0,0,0,0
leptidea_sinapisG00000003416,9,5,0,0,0,0,0,2,5,10,9,17,0,0,0,2,5,1
leptidea_sinapisG00000003147,26,20,4,0,22,24,0,14,11,20,22,60,21,70,34,15,65,20
leptidea_sinapisG00000003146,37,38,33,6,34,29,0,14,9,11,71,71,42,128,50,49,52,41
leptidea_sinapisG00000003141,41,26,12,2,23,36,0,34,5,11,32,138,50,85,14,70,24,21
leptidea_sinapisG00000003140,338,251,390,130,395,169,44,341,195,112,544,1086,2258,4862,2408,2045,2001,3222
leptidea_sinapisG00000003143,50230,48108,6883,1909,42004,46609,3481,9063,108594,77594,9333,1059,587,2730,2249,1177,738,971
leptidea_sinapisG00000003142,33,17,0,0,9,36,0,0,0,7,0,0,0,0,0,0,0,0
leptidea_sinapisG00000003149,17,15,0,0,9,0,0,5,5,0,23,32,150,160,12,20,19,139
leptidea_sinapisG00000003148,86,51,72,0,55,51,0,24,26,39,55,221,82,214,85,100,61,83
leptidea_sinapisG00000003419,849,788,2886,500,437,541,495,1007,332,255,526,978,1115,2804,404,528,726,1469
leptidea_sinapisG00000003418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000000457,35,22,307,0,48,14,0,68,18,42,27,40767,51,180,32,22,75,10
leptidea_sinapisG00000000326,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000015573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000015572,14,3,0,0,5,0,0,0,0,0,0,0,0,0,5,0,18,0
leptidea_sinapisG00000007305,87,66,223,47,79,56,24,91,23,28,93,137,130,504,215,141,87,284
leptidea_sinapisG00000007304,224,172,161,32,399,193,37,27,167,165,76,382,495,751,466,401,1623,281
leptidea_sinapisG00000007303,0,0,0,0,0,0,0,0,0,0,8,12,0,0,11,34,19,9
leptidea_sinapisG00000015576,69,46,126,76,73,37,7,60,33,24,109,178,249,252,95,53,190,303
leptidea_sinapisG00000012255,251,164,292,55,158,92,11,99,132,77,243,475,391,665,86,72,173,428
leptidea_sinapisG00000015574,10,1,0,0,10,3,3,59,2,0,14,26,16,152,7,9,12,5
leptidea_sinapisG00000012259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,11,56,0
leptidea_sinapisG00000012258,0,2,0,0,0,0,0,0,0,0,4,4,0,0,2,0,0,0
leptidea_sinapisG00000007309,200,274,176,98,362,168,0,192,96,58,297,367,502,380,278,203,225,387
leptidea_sinapisG00000007308,7,9,11,0,22,7,0,0,0,9,7,2,2,64,2,0,0,0
leptidea_sinapisG00000000429,0,0,55,46,0,0,0,58,0,0,12,302,7,0,31,33,21,9
leptidea_sinapisG00000005148,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000011054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000011507,0,3,0,0,0,6,0,0,0,0,0,2,0,0,0,0,8,0
leptidea_sinapisG00000011056,4,1,0,0,6,2,0,2,0,5,0,0,1,25,0,0,0,0
leptidea_sinapisG00000011505,36,73,31,0,90,24,0,39,19,7,95,252,129,391,227,179,45,179
leptidea_sinapisG00000011050,35,35,19,36,70,27,0,24,43,70,20,35,279,5908,1009,9626,194,55
leptidea_sinapisG00000000826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000011500,141,330,4,0,1056,322,1,3,587,603,86,96,469,910,776,572,316,438
leptidea_sinapisG00000000824,9,3,0,0,2,6,0,0,3,4,2,11,0,0,0,0,0,2
leptidea_sinapisG00000012393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000000829,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
leptidea_sinapisG00000000828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000011058,8,7,7,0,3,2,0,11,2,0,8,7,10,28,0,6,15,6
leptidea_sinapisG00000011059,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000011508,3933,2780,14691,2215,3003,2205,1017,3645,2288,1549,3084,6361,6749,25704,5580,6339,5247,8872
leptidea_sinapisG00000011509,7157,7200,0,0,14446,12764,0,302,13999,17884,165,2,39,251,100,87,63,194
leptidea_sinapisG00000000424,35,42,182,12,126,67,0,17,21,15,71,356,251,580,107,181,519,127
leptidea_sinapisG00000000423,0,0,0,0,0,0,0,0,5,0,4,7,0,0,0,0,0,0
leptidea_sinapisG00000014299,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
leptidea_sinapisG00000000422,241,148,429,88,296,196,44,157,117,88,127,1618,679,2863,296,444,96,995
leptidea_sinapisG00000000421,6,5,0,0,6,15,0,7,5,0,19,28,37,142,11,16,166,47
leptidea_sinapisG00000005140,617,404,1247,242,668,515,55,414,334,315,465,959,822,2418,642,635,466,1285
leptidea_sinapisG00000007817,10,10,0,0,30,0,0,0,12,37,1,42,0,0,10,49,54,0
leptidea_sinapisG00000013066,6,4,19,0,3,6,0,22,0,0,22,50,25,126,38,37,20,12
leptidea_sinapisG00000007815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
leptidea_sinapisG00000002327,50,26,10,2,18,9,1,6,2,6,21,74,86,133,19,17,17,117
leptidea_sinapisG00000003817,0,0,0,0,9,8,0,0,0,0,0,1,59,367,586,399,649,48
leptidea_sinapisG00000006818,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1
leptidea_sinapisG00000008955,154,85,303,47,57,44,0,89,53,32,141,219,69,278,76,68,140,39
leptidea_sinapisG00000006819,0,0,0,0,0,0,0,0,0,0,3,34,24,18,0,0,0,23
leptidea_sinapisG00000005819,135,75,228,0,109,42,22,36,45,25,228,110,59,163,444,168,306,38
leptidea_sinapisG00000001268,672,467,0,0,1743,580,0,16,358,259,87,12,2,0,0,5,0,0
leptidea_sinapisG00000005815,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000005814,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0
leptidea_sinapisG00000005817,243,332,15,19,1016,319,23,691,170,284,2783,84,208,1949,324,329,40,287
leptidea_sinapisG00000001269,158,122,126,5,50,69,0,47,27,34,335,323,58,227,231,70,106,36
leptidea_sinapisG00000005811,2349,1587,0,0,1314,717,0,6,449,318,0,0,3,0,11033,23471,9542,0
leptidea_sinapisG00000005810,3,0,10,0,3,0,0,0,0,0,12,3,14,38,0,6,0,14
leptidea_sinapisG00000005813,1865,1367,409,145,2192,1111,15,284,567,454,872,1724,5076,17388,7609,6666,2053,3388
leptidea_sinapisG00000005812,41,17,0,0,20,28,0,6,9,15,36,39,36,127,26,29,50,42
leptidea_sinapisG00000006546,849,626,4896,819,1112,434,402,2173,628,244,2185,1674,3871,9892,2671,3244,3197,5145
leptidea_sinapisG00000012396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
leptidea_sinapisG00000014628,0,0,0,0,0,2,0,0,1,0,3,4,0,0,0,0,0,0
leptidea_sinapisG00000014629,0,0,0,0,0,0,0,7,0,0,7,3,0,5,0,1,15,3
leptidea_sinapisG00000001267,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
leptidea_sinapisG00000008954,24,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000014625,0,0,0,0,3,0,0,0,0,0,9,1,0,0,3,0,6,0
leptidea_sinapisG00000014626,469,291,1043,273,219,295,334,1414,160,212,1583,680,369,1057,638,733,884,332
leptidea_sinapisG00000014627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000014620,32,30,28,2,27,18,0,3,15,6,15,27,13,21,6,12,11,0
leptidea_sinapisG00000006816,117,82,252,68,94,64,33,109,31,23,104,540,455,1034,84,54,50,530
leptidea_sinapisG00000014622,0,0,0,0,0,0,0,0,0,0,4,0,5,0,13,5,21,0
leptidea_sinapisG00000014623,55,44,103,41,76,14,0,13,20,16,57,243,225,439,71,50,62,267
leptidea_sinapisG00000010677,453,322,239,19,405,206,0,200,134,191,533,854,544,1837,251,233,241,373
leptidea_sinapisG00000010676,29,37,12,21,25,23,0,14,4,12,81,210,29,145,47,63,43,22
leptidea_sinapisG00000010675,182,146,108,119,60,33,0,185,16,25,2121,141,5,79,83,5,15,3
leptidea_sinapisG00000006817,52,27,27,10,27,30,0,16,6,7,75,58,38,63,34,23,37,35
leptidea_sinapisG00000010673,9,5,29,0,16,6,0,3,0,6,2,214,47,0,35,34,59,28
leptidea_sinapisG00000010672,173,147,305,65,280,129,13,145,102,109,134,373,323,1028,159,173,165,448
leptidea_sinapisG00000010671,4,5,4,0,2,7,0,7,0,3,46,3,3,0,0,0,4,4
leptidea_sinapisG00000010670,1040,1097,3824,927,1615,1776,618,1486,1066,1366,1485,7336,8214,34597,14579,18275,3629,13445
leptidea_sinapisG00000006542,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
leptidea_sinapisG00000013494,40,38,0,0,49,35,0,19,16,8,65,133,64,184,48,73,55,48
leptidea_sinapisG00000010679,18,22,33,0,29,6,0,0,3,0,28,56,47,143,38,24,15,20
leptidea_sinapisG00000006811,0,5,0,0,3,8,0,0,0,7,0,5,9,0,0,0,0,0
leptidea_sinapisG00000001158,18,51,323,87,148,255,38,76,53,52,58,198,371,846,159,244,280,387
leptidea_sinapisG00000001159,138,105,6,0,145,63,0,30,27,26,125,25,106,112,35,40,184,126
leptidea_sinapisG00000013069,22,43,2,17,59,24,0,14,9,25,12,67,37,84,31,18,20,76
leptidea_sinapisG00000008953,2,0,32,0,6,0,0,0,0,0,2,5,0,25,18,0,6,8
leptidea_sinapisG00000001150,2,4,13,22,0,13,0,16,0,0,28,19,0,0,1,15,14,7
leptidea_sinapisG00000001151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000001152,8,14,4,0,7,8,0,2,3,0,1,10,9,0,5,0,1,0
leptidea_sinapisG00000001153,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,5,2
leptidea_sinapisG00000001154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000001155,25,39,3,6,35,14,0,0,11,3,33,43,86,91,24,34,26,73
leptidea_sinapisG00000001156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,715,1785,0
leptidea_sinapisG00000001157,0,2,0,0,0,0,0,0,0,0,0,15,73,157,0,0,0,93
leptidea_sinapisG00000005829,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
leptidea_sinapisG00000009978,0,0,0,0,6,0,0,1,0,0,13,7,1,0,0,3,2,0
leptidea_sinapisG00000014567,76,56,168,47,38,39,0,77,13,12,108,185,90,429,172,148,128,185
leptidea_sinapisG00000014566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000014565,92,44,20,17,74,23,2,11,34,15,57,121,351,511,65,43,44,377
leptidea_sinapisG00000014564,5,9,0,0,6,7,0,24,5,0,45,18,55,156,42,53,20,36
leptidea_sinapisG00000014563,0,7,4,0,4,4,0,4,2,0,0,7,3,33,3,0,5,0
leptidea_sinapisG00000014562,0,0,0,0,2,0,0,0,0,3,0,0,1,0,3,0,0,0
leptidea_sinapisG00000014561,6,10,32,0,1,0,0,0,0,0,25,12,2,0,56,38,98,0
leptidea_sinapisG00000014560,154,98,52,11,38,33,0,42,41,24,73,125,348,755,23,37,35,177
leptidea_sinapisG00000004906,179,142,424,87,177,57,22,97,56,59,185,640,277,628,228,256,141,234
leptidea_sinapisG00000014569,48,43,39,0,65,46,5,49,44,23,62,140,63,365,81,89,100,112
leptidea_sinapisG00000014568,205,128,88,30,160,83,0,114,70,74,1149,423,328,925,247,228,414,363
leptidea_sinapisG00000010013,142,97,25,0,55,30,0,18,33,23,47,115,116,418,22,13,15,128
leptidea_sinapisG00000010012,60,32,23,0,36,8,0,4,22,3,39,68,70,169,19,15,9,97
leptidea_sinapisG00000010011,56,25,44,18,56,18,19,19,16,11,23,91,89,113,27,15,32,104
leptidea_sinapisG00000004907,38,25,5,0,18,37,0,4,10,2,50,119,19,19,50,50,83,22
leptidea_sinapisG00000010017,213,217,948,168,231,275,116,452,86,122,644,814,956,2944,917,711,825,1787
leptidea_sinapisG00000008268,25,14,15,0,15,7,0,7,5,6,21,53,59,54,15,13,21,6
leptidea_sinapisG00000013178,20,32,14,0,11,24,0,21,6,18,57,32,23,102,18,8,24,26
leptidea_sinapisG00000010014,45,46,81,0,169,75,12,19,71,49,82,424,191,496,281,241,219,112
leptidea_sinapisG00000008265,0,0,28,0,3,0,0,0,0,0,10,0,2,0,33,11,7,0
leptidea_sinapisG00000008264,1020,3048,14,0,2671,2148,0,129,4389,2430,80,134,1947,3427,380,960,2505,1659
leptidea_sinapisG00000008267,40,37,17,0,56,31,0,6,12,11,8,55,31,42,17,15,49,18
leptidea_sinapisG00000010018,0,0,0,0,0,0,0,0,0,2,5,4,8,0,0,4,8,11
leptidea_sinapisG00000012395,159,88,62,0,131,39,11,11,28,27,75,153,288,230,12,18,86,281
leptidea_sinapisG00000008260,2,4,0,0,0,2,0,0,0,0,0,8,0,0,0,0,3,0
leptidea_sinapisG00000008263,149,82,85,12,154,40,14,35,18,21,79,245,292,693,43,28,55,304
leptidea_sinapisG00000004901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000006894,438,336,462,97,423,216,24,208,183,216,582,774,1018,2078,416,332,409,1630
leptidea_sinapisG00000006895,5,0,0,0,15,5,0,6,4,0,0,0,25,148,29,20,6,14
leptidea_sinapisG00000008951,509,404,289,44,442,274,22,114,169,171,422,632,296,1046,171,165,217,212
leptidea_sinapisG00000006897,4763,6446,95,4,20543,9579,0,8,10994,12330,55,519,168,509,425,360,25,494
leptidea_sinapisG00000006890,525,547,857,156,586,431,85,575,242,318,790,1561,472,1556,866,648,575,629
leptidea_sinapisG00000004902,0,0,14,0,0,0,0,0,0,0,0,1085,5,0,7,0,13,8
leptidea_sinapisG00000007444,5,2,0,0,8,4,0,3,0,2,21,4,0,0,0,0,0,0
leptidea_sinapisG00000006893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000004903,21,22,0,0,8,16,0,6,2,12,32,30,24,86,15,17,32,11
leptidea_sinapisG00000006898,13,17,8,0,17,15,0,6,3,11,8,70,25,86,19,29,10,21
leptidea_sinapisG00000006899,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
leptidea_sinapisG00000006500,0,6,11,0,0,9,0,9,0,0,5,26,0,0,0,0,0,0
leptidea_sinapisG00000015442,20,21,0,0,8,0,0,19,4,2,25,24,105,249,18,26,20,49
leptidea_sinapisG00000008801,625,637,94,8,61,84,22,200,56,154,1119,121,130,151,266,95,160,196
leptidea_sinapisG00000008199,209,158,905,207,210,147,250,417,159,66,372,600,1248,3795,756,733,825,1572
leptidea_sinapisG00000008198,400,265,0,0,50,26,0,0,20,53,0,0,467,519,85,0,0,357
leptidea_sinapisG00000006501,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
leptidea_sinapisG00000008800,8057,7104,142,267,1527,942,55,55,662,1448,1037,16,228,189,105,103,231,995
leptidea_sinapisG00000008193,1007554,1717648,23372,7866,3540,1938025,1330,110141,44767,1764896,25079,2463,347,2133,199,62,45,857
leptidea_sinapisG00000008192,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,1
leptidea_sinapisG00000008191,0,0,16,0,0,0,0,0,0,3,5,3,13,3,4,34,11,11
leptidea_sinapisG00000008190,331,230,740,225,270,167,170,353,157,66,561,644,1004,2248,567,369,537,1084
leptidea_sinapisG00000008197,0,0,0,0,0,0,0,0,0,0,0,41,261,879,0,0,0,292
leptidea_sinapisG00000008196,6,4,0,7,11,0,0,0,2,5,6,114,14,80,17,10,12,5
leptidea_sinapisG00000008195,0,0,0,0,2,0,49,100,5,0,2386,1282,1014,20485,10925,5893,92,587
leptidea_sinapisG00000008194,43,44,244,21,57,35,0,35,12,32,76,319,74,951,156,176,103,348
