baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
leptidea_sinapisG00000003000	46.1026290616065	-0.463400737582948	0.537794362184696	-0.861669013599293	0.38886968168607	0.833145597702082
leptidea_sinapisG00000003002	79.2178960700918	0.0990350111974752	0.361062100569087	0.274288027021893	0.783863284868148	0.960010163279874
leptidea_sinapisG00000003004	29.2866889966755	0.518922431712406	0.37383414237311	1.3881087169253	0.165103942617476	0.675903448751459
leptidea_sinapisG00000003006	38.2744576885492	0.334974731530272	0.444339691244105	0.753870829302638	0.45092678812622	0.854156442695479
leptidea_sinapisG00000003007	84.1364773110892	0.234461887570882	0.494205778316742	0.47442158278573	0.635199305303553	0.922503283616527
leptidea_sinapisG00000008438	25.8940999558167	-0.617991254619061	0.403884346176951	-1.53011935339605	0.125987188606831	0.633927319647662
leptidea_sinapisG00000015428	31.2954270393746	0.455043017115301	0.35302081209986	1.28899770642016	0.197398883948781	0.702364503731214
leptidea_sinapisG00000003009	95.0649624591977	0.778020867112446	0.713425887150264	1.09054196255788	0.275474479239256	0.763430980007768
leptidea_sinapisG00000006942	109.598154713072	0.74008101095049	0.593691829598057	1.24657435735901	0.212553608937202	0.717810118121006
leptidea_sinapisG00000001481	43.7993885180101	-0.748719145367213	0.439816261985333	-1.70234529752831	0.0886906580413775	0.575479319039196
leptidea_sinapisG00000007433	126.944157667406	0.466253621460018	0.47821983622206	0.97497758592246	0.329571378303957	0.799148166507411
leptidea_sinapisG00000011131	11.7611798748696	0.878810748795102	0.568015939259299	1.54715860604384	0.121825004776358	0.633051190806547
leptidea_sinapisG00000011648	39.3301188340196	0.0824787690320198	0.344269488779385	0.239576180057228	0.810658832608416	0.966442862757309
leptidea_sinapisG00000011138	22.4715203939396	0.388042768936267	0.423653632941946	0.915943447107041	0.359696557384658	0.820431473585231
leptidea_sinapisG00000013490	27.8804961737339	-0.383720024363604	0.470833362378112	-0.814980532444619	0.415083453548958	0.84354323969125
leptidea_sinapisG00000001745	41.7408354378155	-0.294466855878919	0.281970940283134	-1.04431632416886	0.296339062747615	0.778328270669669
leptidea_sinapisG00000001747	1379.64099049329	-2.66097903805413	1.83543532803438	-1.44978087618257	NA	NA
leptidea_sinapisG00000001746	12.1829589701616	-0.423857769137092	0.515040159106092	-0.82296062092079	0.410530387470011	0.841238835695324
leptidea_sinapisG00000001741	41.9604547431556	0.0353092746447523	0.362269513962048	0.0974668673015952	0.92235564498672	0.987848731769012
leptidea_sinapisG00000001743	44.6009319469983	0.0557021149139745	0.521059853447512	0.106901567152852	0.914867069909183	0.987848731769012
leptidea_sinapisG00000000299	72.9583927110908	0.0270079198677365	0.502722352743174	0.0537233320149066	0.957155593383101	0.992718957572941
leptidea_sinapisG00000013494	20.2529092155592	-0.0786602979478141	0.360646365827186	-0.218109221113034	0.827344012949672	0.972375369352879
leptidea_sinapisG00000000928	11.2453365001039	-1.45431863019714	0.647544382340409	-2.24589799534793	0.0247105423263447	0.377003430732625
leptidea_sinapisG00000000929	10.8010406255511	0.602630867247309	0.524092347588658	1.14985626105782	0.250203078290261	0.74689355489834
leptidea_sinapisG00000000924	22.7848756791283	-0.0312128021257039	0.347503960401232	-0.0898199896475001	0.928430262953719	0.98822385362788
leptidea_sinapisG00000000295	24.6744610255835	0.236513641614367	0.467948268669106	0.50542689747958	0.613259030991587	0.917800122121253
leptidea_sinapisG00000000296	55.7818597698977	1.23697175168636	0.621448059978184	1.99046683278694	0.0465395341068726	0.469766457531803
leptidea_sinapisG00000010942	140.842858128171	-0.0204983339490143	0.403785698962848	-0.0507653787681577	0.959512479028869	0.992718957572941
leptidea_sinapisG00000008524	26.23141950804	-0.3100638629384	0.368569965464166	-0.841261882388909	0.400201239720513	0.837294778092617
leptidea_sinapisG00000001485	67.2478503289521	-0.530712506894132	0.364216107992493	-1.45713628597961	0.145078763811411	0.653420479368587
leptidea_sinapisG00000010512	33.2512430909922	-0.309818896757588	0.372648421797856	-0.831397313486141	0.405749216235564	0.840902881895248
leptidea_sinapisG00000010510	82.0799754755826	0.14980672016801	0.299900944689814	0.499520667809015	0.617412630376324	0.91839029163244
leptidea_sinapisG00000010516	15.1914914644961	-0.031190495815956	0.385810018748172	-0.0808441831478587	0.935565869972054	0.98822385362788
leptidea_sinapisG00000010517	89.2927379126304	0.668752417138554	0.324557935736067	2.06050243578819	0.0393505332352477	0.435012659592387
leptidea_sinapisG00000010514	58.0807066185855	0.501196517533087	0.531946161465501	0.942194067445285	0.346093290703108	0.809953803931502
leptidea_sinapisG00000010515	61.2763981461176	0.0362290299923897	0.35730299058655	0.101395820765217	0.91923625392388	0.987848731769012
leptidea_sinapisG00000010518	84.8015270348059	0.279301694650689	1.03707088910661	0.269317842767042	0.787685102729041	0.961354931979203
leptidea_sinapisG00000001528	13.6160888043365	-0.219071860973665	0.413674500583445	-0.529575452837162	0.596406317494725	0.912384040720176
leptidea_sinapisG00000001525	31.8379999484785	-0.429969097882588	0.357204896345119	-1.20370437886486	0.228703859197875	0.730444043676612
leptidea_sinapisG00000001526	211.471551381608	-0.534284532229345	0.344336936766572	-1.5516329361771	0.120750077684716	0.631604180928335
leptidea_sinapisG00000014462	130.249415136227	0.12103085533982	0.371792546529765	0.3255333020242	0.74477748256451	0.948253264346877
leptidea_sinapisG00000014460	10.8847177947324	-0.31435321253042	0.436696405897544	-0.719843828080811	0.4716211564087	0.861070821436156
leptidea_sinapisG00000014466	744.400502524733	0.97245477189035	1.73266610297716	0.561247646167618	0.574628726199415	0.902744155932896
