baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
leptidea_sinapisG00000014808	60.0840397963917	-2.99349345813529	0.759970573597243	-3.93895969414434	8.18356753128191e-05	0.0164415958657834
leptidea_sinapisG00000005091	21.609709521193	-3.69467629808462	0.768833406348982	-4.8055616048603	1.54317710505799e-06	0.00104462067318818
leptidea_sinapisG00000011566	178.79962168309	-6.19032624004156	1.61629217170092	-3.82995497251411	0.000128166709042489	0.0202373483394624
leptidea_sinapisG00000002069	22.7344642670331	-2.94599490984557	0.733630458585269	-4.01563876658913	5.92850033080643e-05	0.012213999485881
leptidea_sinapisG00000015332	34.3439040192551	-6.03963260479326	1.22876795218614	-4.91519378744208	8.86946818600524e-07	0.000646584230759782
leptidea_sinapisG00000010887	35.4773251743191	-3.3057274864726	0.749122026255099	-4.41280241484569	1.02041114740642e-05	0.00358164312739652
leptidea_sinapisG00000011650	1274.38570680716	-5.72828059773857	1.2865693105274	-4.4523684428555	8.49282746564783e-06	0.00309563561122864
leptidea_sinapisG00000006268	18.4489229873097	-3.25538787489847	0.781279445859981	-4.16673943254088	3.08987335901276e-05	0.00791425130361187
leptidea_sinapisG00000003967	1911.970943533	-5.22064676928369	0.955932326856748	-5.46131417738531	4.72622781031624e-08	5.58794127445415e-05
leptidea_sinapisG00000008059	748.540950099298	-3.7418297201433	0.659091054138841	-5.67725763632511	1.36871249831836e-08	4.32376278218771e-05
leptidea_sinapisG00000009905	18.4686074585821	-3.28559489934291	0.878638871650278	-3.73941445724093	0.000184449401401799	0.0257062790747772
leptidea_sinapisG00000011509	58.7189035930561	-3.42501717055139	0.876838955558305	-3.90609603832051	9.37992444718597e-05	0.0167723667898078
leptidea_sinapisG00000006897	106.342041387119	-3.81490825626143	0.804099513530534	-4.74432354710853	2.09204245169496e-06	0.00120550540737446
leptidea_sinapisG00000000141	21.1111388350771	-2.28259711996931	0.614285904299388	-3.71585462728903	0.000202518001649255	0.0274180443089998
leptidea_sinapisG00000005996	1910.33801067228	-4.04203797441226	0.765758087469187	-5.27847898775853	1.30260599690275e-07	0.000112225427569522
leptidea_sinapisG00000000165	1022.86691860572	-10.9407662936206	1.48481320277261	-7.36844626192085	1.72628090498982e-13	1.63599641365886e-09
leptidea_sinapisG00000007178	10.028526357562	-3.15113085176326	0.756134245925941	-4.16742247655305	3.08063229892138e-05	0.00791425130361187
leptidea_sinapisG00000015008	30.9749733068535	2.20114960826123	0.598231792662834	3.67942599383347	0.000233759511532296	0.029149195931468
leptidea_sinapisG00000001896	14.8436057085996	-3.78381239560465	0.932656288993881	-4.05702769633012	4.97011900662906e-05	0.0109479989170276
leptidea_sinapisG00000014858	21.3293783815641	-2.85798337235383	0.710474264126634	-4.02264165876166	5.75490198339616e-05	0.0121198235770323
leptidea_sinapisG00000001416	75.2239250460897	-3.98538953793579	0.730111895202217	-5.45860102283633	4.79900784937015e-08	5.58794127445415e-05
leptidea_sinapisG00000003348	15.0350404136167	-4.1358896005307	0.948187717433584	-4.36188902733852	1.28944271992472e-05	0.00436430309168806
leptidea_sinapisG00000005383	311.154364163471	1.02903446889701	0.291723175649289	3.52743475593491	0.000419607159348302	0.0467837299899277
leptidea_sinapisG00000006123	24.1790010952188	-4.00426219534018	0.920189785366799	-4.35156123119105	1.35171559964052e-05	0.00441731335785971
leptidea_sinapisG00000015256	122.941427068601	-4.00412603463164	0.884153647226592	-4.52876719695922	5.93288223102403e-06	0.00255572385924612
leptidea_sinapisG00000005910	13.4619025756743	-3.62410780230698	0.967053297229454	-3.74757814557876	0.00017855021847882	0.0256381881897541
