baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
leptidea_sinapisG00000000299	188.621225911605	-1.0415716582783	0.62308413962141	-1.67163885588737	0.0945955578830266	0.517029379331165
leptidea_sinapisG00000000928	19.9408746752557	-1.50704166412805	0.455702802336768	-3.3070713113902	0.000942768886878897	0.0776454785808978
leptidea_sinapisG00000014460	10.4217938569528	-1.03550497795259	0.353377727769521	-2.93030628865203	0.00338628048237754	0.140043771365622
leptidea_sinapisG00000010774	19.3449971836076	-1.02009972176627	0.427889037103957	-2.38402864600251	0.0171242693327337	0.280151883345029
leptidea_sinapisG00000005125	16.6635676625229	2.77865191940764	0.643915493882396	4.31524314262756	1.59427329368244e-05	0.0118172441984031
leptidea_sinapisG00000008809	11.2512186583321	1.04075104072993	0.551372574562096	1.88756403336982	0.059084502368668	0.433044504998944
leptidea_sinapisG00000002514	336.583283503727	-1.01814130368235	0.318553988987505	-3.19613421548548	0.00139282305479399	0.0920181094048367
leptidea_sinapisG00000009640	86.2002476261693	-1.3216290454074	0.560988561611148	-2.3558930357006	0.0184782376353847	0.288829081473999
leptidea_sinapisG00000008047	73.9653491944095	2.07110801563157	1.09306237019685	1.8947756981686	0.0581221240797869	0.432148755889527
leptidea_sinapisG00000014898	12.1864752007383	-1.177991132503	0.392894269468847	-2.99823953679835	0.00271544154585622	0.127402948808064
leptidea_sinapisG00000001724	120.706501732884	-1.07550510389496	0.533611136707161	-2.01552222191566	0.043849960073102	0.40511813544047
leptidea_sinapisG00000010796	10.4837514759201	-1.0556816601687	0.38538408015233	-2.73929753338907	0.00615706248447629	0.181170279803137
leptidea_sinapisG00000005176	33.4325530842804	-1.20394084883159	0.488932683032562	-2.46238570382379	0.0138016154611593	0.259822463142368
leptidea_sinapisG00000012635	3004.1743823869	-1.24728996733383	0.766977817402755	-1.62623994988222	0.103898620668312	0.538261886430031
leptidea_sinapisG00000012495	35.2726467875926	1.01906289007206	0.546565048491587	1.86448601659486	0.062253483473265	0.443073358600382
leptidea_sinapisG00000012447	631.270863640261	-1.18737017218188	0.785674225544055	-1.51127545435217	0.130718285006021	0.572687892658884
leptidea_sinapisG00000012827	101.995684759591	-1.00613412581254	0.341667337692585	-2.94477702377805	0.00323187481518185	0.138186692269335
leptidea_sinapisG00000000622	24.3581664588192	-1.15664227499275	0.357140857461695	-3.23861650334087	0.00120110954843325	0.0862058359773055
leptidea_sinapisG00000003822	57.4327579588222	-1.3865503275374	1.06637871254222	-1.30024194146927	0.193518059873298	0.63960562231588
leptidea_sinapisG00000007533	10.5951904856423	1.07903910817795	0.670566243337448	1.60914617891815	0.1075843817286	0.540918587317332
leptidea_sinapisG00000007536	68.7203662777596	-1.41467373522266	0.626088116682538	-2.25954414007825	0.0238495578435462	0.322937266954671
leptidea_sinapisG00000002933	59.3047903274313	-1.74755571420855	0.799275122374528	-2.18642575664912	0.0287844709305806	0.344555480605062
leptidea_sinapisG00000002932	18.9326744590844	-1.91791929979895	0.696438920987853	-2.75389447947352	0.00588907519723805	0.180723339492311
leptidea_sinapisG00000001877	51.61484438475	-2.04712592785121	0.680919653868496	-3.0064133355836	0.0026434939521331	0.126102513478983
leptidea_sinapisG00000001707	223.776453967733	1.19661914329502	1.0847664690697	1.10311221577603	0.269978436566051	0.71235274226464
leptidea_sinapisG00000010557	70.0058084762883	-1.08691346998429	0.456102387982103	-2.38304709342355	0.0171699976632404	0.28036831927264
leptidea_sinapisG00000010431	38.051505238323	-1.16614014463589	0.427045598726347	-2.73071575521179	0.00631969518355843	0.182325098169967
leptidea_sinapisG00000011790	34.5945483026453	-1.02699124311036	0.858248981059155	-1.19661224863088	0.231457724069282	0.675856554282304
leptidea_sinapisG00000012960	30.025167686734	-1.79019204321393	0.830354271372784	-2.15593765809658	0.0310885334405097	0.352815940452923
leptidea_sinapisG00000006877	10.6781136552078	-1.43571096210482	0.753002313309723	-1.90664880668738	0.0565660803723343	0.429272789150571
leptidea_sinapisG00000000517	52.7123446102982	-2.91265765999273	1.00499411166647	-2.89818380643345	0.00375330553196676	0.14642450245357
leptidea_sinapisG00000006586	129.72651880116	-1.4982766973664	0.828153781117266	-1.80917690835761	0.070423523862565	0.461006165719889
leptidea_sinapisG00000007988	11.7280775985737	-1.04592442903678	0.405011975330165	-2.58245309458848	0.00981006964222051	0.226147921225925
leptidea_sinapisG00000013245	11.4755899901237	-1.08049400985172	0.794267317076683	-1.36036569379249	0.173714229021872	0.621588872425096
leptidea_sinapisG00000004379	52.7707288582949	-1.18947248544809	0.732166630123456	-1.62459259478614	0.104249396061267	0.538638960511808
leptidea_sinapisG00000004516	739.034890836705	-2.73065058309972	1.31841621896071	-2.07115973228261	0.0383438712909078	0.383103586736447
leptidea_sinapisG00000006732	25.8345874267376	-2.08426609798129	0.846446167347283	-2.46237289314366	0.0138021084996424	0.259822463142368
leptidea_sinapisG00000011150	11.6286426861503	1.08603248294719	0.53702937174305	2.02229624689284	0.0431457561337679	0.401305507823347
